Uygulama,Gelistirici,Tip,Son guncelleme,Puan,Yorum,Top-free,Top-grossing,Gelir modeli,Yillik $,Lifetime $,Reklam,Paywall,Hedef kitle,Guclu,Zayif,Kaynak
Bookly,TwoDoor Games,sirket,2026-09,4.6,61000,28,62,freemium abonelik + lifetime,29.99,79.99,yok,"10 kitap limiti + ozellik kilidi, 7 gun deneme","aliskanlik odakli, oyunlastirma seven okur",Hesapsiz + iCloud senkron; Watch/widget/Mac/Vision; timer; Bookly Assistant,10 kitap limiti cok sikici; ucretsizde kitap silinemiyor; abonelik direnci,https://apps.apple.com/us/app/bookly-book-tracker/id1085047737
Margins,Paratext Inc.,yatirimli,2026-08,4.9,19000,—,—,freemium abonelik,59.99,—,yok,"Cok yumusak: neredeyse her sey ucretsiz, opsiyonel abonelik",BookTok/kesif odakli genc okur,Search by Vibes (AI); Goodreads/StoryGraph/Fable ice aktarma; 4.9 puan; App of the Day 20+ ulke,Hesap zorunlu; bulut bagimli; yalnizca Ingilizce,https://apps.apple.com/us/app/margins-book-tracker/id6737528718
Bookmory,TonySoft,indie,2026-09,4.8,16000,—,—,freemium abonelik + reklam,30.99,—,var,Senkron + reklamsizlik + temalar kilitli,"genel; 15 dil, Turkce dahil",OCR alinti; takvim gorunumu; cok dilli; comert ucretsiz katman,Ucretsizde reklam; cihazlar arasi senkron paywall arkasinda,https://apps.apple.com/us/app/bookmory-reading-tracker/id1515533482
StoryGraph,The StoryGraph Limited,sirket,2025-03,4.5,3600,—,—,freemium abonelik,49.99,—,var,"Ozellik kilidi: ozel grafikler, karsilastirmali istatistik, reklamsizlik","istatistik meraklisi, Goodreads'ten kacan okur",Mood/pace tabanli ML oneri; icerik uyarilari; guclu web surumu,"iOS uygulamasi 3MB web wrapper, 20-30sn yukleme; 18 aydir guncellenmedi",https://apps.apple.com/us/app/storygraph-reading-tracker/id1570489264
Book Tracker: Bookster,Aecio Lima,solo,2026-06,4.0,4,—,—,freemium abonelik + lifetime,24.99,49.99,yok,AI onboarding sonrasi; net desen yok,genel,AI onboarding; yazar bazli oneri; not sistemi,6 IAP kalemi ve tutarsiz fiyat (24.99 ve 59.99 ayni anda); 4 yorum - tutunamamis,https://apps.apple.com/us/app/book-tracker-bookster/id6476703822
Bookdot,TRILLIWON Co.,indie,2026-09,4.3,3,—,—,freemium abonelik + lifetime,12.99,12.99,yok,"Sinirsiz raf, detayli istatistik, Notion senkron kilitli","Notion kullanan, tasarim odakli okur",Hesapsiz iCloud; Notion senkron; timer; hicbir veri toplamiyor,iOS-only; kucuk kitap veritabani; cok dusuk yorum sayisi,https://apps.apple.com/gb/app/bookdot-book-tracker/id6503656539
Fable,Fable Group Inc.,yatirimli,—,—,—,—,—,freemium abonelik + kulup aboneligi,49.99,—,var,"Fable Plus: gelismis istatistik, ozel hedefler, reklamsizlik; premium kulupler ayri $5.99-9.99/ay","sosyal okur, kitap kulubu katilimcisi",Kulupler; e-kitap magazasi; Scout's Pick (AI),Tracker degil sosyal platform; hesap zorunlu; cok katmanli odeme,https://apps.apple.com/us/app/fable-your-book-community/id1553601155
Book Tracker (booktrack.app),Renat Karimov,solo,2026-08,—,—,—,—,tek seferlik ucretli,—,5.99,yok,5 kitap sonrasi tek seferlik satin alma,"gizlilik odakli, abonelik istemeyen okur",Hesapsiz; iCloud E2E; sunucu yok; OCR alinti; iPhone/iPad/Mac/Watch; Turkce,AI/oneri yok; sosyal yok; Mac ayri satin alma,https://apps.apple.com/us/app/book-tracker-bookshelf-tbr/id1491660771
PagePath,KindredView,solo,—,—,—,—,—,tek seferlik ucretli,—,9.99,yok,25 kitap sonrasi tek seferlik satin alma,gizlilik maksimalisti,Tamamen cihazda; ISBN tarayici; widget; CSV ice aktarma,Bulut senkron hic yok - cihaz degisince veri gider,https://kindredview.com/pagepath/
Leafed,Leafed,solo,—,—,—,—,—,ucretsiz + affiliate + bahsis,—,—,yok,Yumusak duvar: bahsis kavanozu,"gizlilik odakli, algoritma istemeyen okur","Hesap yok, sunucu yok; Amazon affiliate ile gelir",Affiliate geliri Turkiye'de zayif; olcekleme yolu belirsiz,https://apps.apple.com/us/app/leafed-private-book-tracker/id6754466418
Hardcover,Hardcover,indie,—,—,—,—,—,ucretsiz + destekci plani,—,—,yok,Yumusak duvar: bazi istatistikler destekci arkasinda,"Goodreads'ten kacan, acik veri seven okur",Tam takip ucretsiz; acik API,Kucuk kitle; net gelir modeli yok,https://hardcover.app/
Goodreads,Amazon,sirket,—,—,—,—,—,ucretsiz (Amazon ekosistem kancasi),—,—,var,Yok,"genel kitle, en buyuk topluluk",En buyuk kitap veritabani ve topluluk (150M+ uye),Arayuz 2013'ten beri degismedi; istatistik yok; Amazon veri topluyor,https://apps.apple.com/us/app/goodreads/id355833469
Bookwise,Bookwise,indie,—,—,—,—,—,ucretsiz (AI kanca),—,—,yok,Belirsiz - ucretsiz konumlaniyor,Goodreads'ten gecis yapan okur,AI oneri; ceyrek yildiz puanlama; Goodreads ice aktarma; kulupler,Gelir modeli gorunmuyor; SEO agirlikli konumlanma,https://bookwiseapp.com/
READO,READO,indie,—,—,—,—,—,ucretsiz + freemium,—,—,yok,Belirsiz,topluluk odakli okur,Booklyn AI asistani; buddy read; Goodreads ice aktarma,Kucuk kitle; iOS'ta zayif gorunurluk,https://alternativeto.net/software/reado--all-about-books
